Module,Function,Settings,Explanation
multiprocessing,Pipe(),duplex = True,"Returns a pair (conn1, conn2) of Connection objects representing the ends of a pipe.

If duplex is True (the default) then the pipe is bidirectional. If duplex is False then the pipe is unidirectional: conn1 can only be used for receiving messages and conn2 can only be used for sending messages.

# The class of conn1, conn2 is multiprocessing.connection.PipeConnection*.

# The two connection objects returned by Pipe() represent the two ends of the pipe. Each connection object has send() and recv() methods (among others). Note that data in a pipe may become corrupted if two processes (or threads) try to read from or write to the same end of the pipe at the same time. Of course there is no risk of corruption from processes using different ends of the pipe at the same time."
multiprocessing,Pool(),"processes, initializer, initargs
maxtasksperchild","A process **pool** object which controls a pool of worker processes to which jobs can be submitted. It supports asynchronous results with timeouts and callbacks and has a parallel map implementation.
*processes* is the number of worker processes to use. If *processes* is None then the number returned by cpu_count() is used. If *initializer* is not None then each worker process will call initializer(*initargs) when it starts.
Note that the methods of the pool object should only be called by the process which created the pool."
multiprocessing,Process(),"[group], [target], [name]
args=(), kwargs={}, *, [daemon]","Process objects represent activity that is run in a separate process. The Process class has equivalents of all the methods of threading.Thread.
The constructor should always be called with keyword arguments. group should always be None; it exists solely for compatibility with threading.Thread. target is the callable object to be invoked by the run() method. It defaults to None, meaning nothing is called. name is the process name (see name for more details). args is the argument tuple for the target invocation. kwargs is a dictionary of keyword arguments for the target invocation. If provided, the keyword-only daemon argument sets the process daemon flag to True or False. If None (the default), this flag will be inherited from the creating process.
By default, no arguments are passed to target.
If a subclass overrides the constructor, it must make sure it invokes the base class constructor (Process.__init__()) before doing anything else to the process."
multiprocessing,Queue(),maxsize,"Returns a process shared queue implemented using a pipe and a few locks/semaphores. When a process first puts an item on the queue a feeder thread is started which transfers objects from a buffer into the pipe.
The usual Queue.Empty and Queue.Full exceptions from the standard library¡¯s Queue module are raised to signal timeouts.
Queue implements all the methods of Queue.Queue except for task_done() and join()."
multiprocessing,set_start_method(method),,"Set the method which should be used to start child processes. method can be 'fork', 'spawn' or 'forkserver'.
Note that this should be called at most once, and it should be protected inside the if __name__ == '__main__' clause of the main module."
multiprocessing,Value(),"typecode_or_type, *args, lock=True","Return a ctypes object allocated from shared memory. By default the return value is actually a synchronized wrapper for the object. The object itself can be accessed via the value attribute of a Value.

typecode_or_type determines the type of the returned object: it is either a ctypes type or a one character typecode of the kind used by the array module. *args is passed on to the constructor for the type.

If lock is True (the default) then a new recursive lock object is created to synchronize access to the value. If lock is a Lock or RLock object then that will be used to synchronize access to the value. If lock is False then access to the returned object will not be automatically protected by a lock, so it will not necessarily be ¡°process-safe¡±."
multiprocessing.connection.PipeConnection*,close(),,"Close the connection.
This is called automatically when the connection is garbage collected."
multiprocessing.connection.PipeConnection*,fileno(),,Return the file descriptor or handle used by the connection.
multiprocessing.connection.PipeConnection*,poll(),[timeout],"Return whether there is any data available to be read.
If timeout is not specified then it will return immediately. If timeout is a number then this specifies the maximum time in seconds to block. If timeout is None then an infinite timeout is used.
Note that multiple connection objects may be polled at once by using multiprocessing.connection.wait()."
multiprocessing.connection.PipeConnection*,recv(),,Return an object sent from the other end of the connection using send(). Blocks until there is something to receive. Raises EOFError if there is nothing left to receive and the other end was closed.
multiprocessing.connection.PipeConnection*,send(obj),,"Send an object to the other end of the connection which should be read using recv().
The object must be picklable. Very large pickles (approximately 32 MB+, though it depends on the OS) may raise a ValueError exception."
multiprocessing.Pool*,"map(func, iterable)",chunksize,"A parallel equivalent of the map() built-in function (it supports only one *iterable* argument though). It blocks until the result is ready.
This method chops the iterable into a number of chunks which it submits to the process pool as separate tasks. The (approximate) size of these chunks can be specified by setting *chunksize* to a positive integer."
multiprocessing.Process*,.name,,"The process¡¯s name.
The name is a string used for identification purposes only. It has no semantics. Multiple processes may be given the same name. The initial name is set by the constructor."
multiprocessing.Process*,.pid,,"Return the process ID. Before the process is spawned, this will be None."
multiprocessing.Process*,is_alive(),,"Return whether the process is alive.
Roughly, a process object is alive from the moment the start() method returns until the child process terminates."
multiprocessing.Process*,join(),timeout,"If the optional argument timeout is None (the default), the method blocks until the process whose join() method is called terminates. If timeout is a positive number, it blocks at most timeout seconds. Note that the method returns None if its process terminates or if the method times out. Check the process¡¯s exitcode to determine if it terminated.
A process can be joined many times.
A process cannot join itself because this would cause a deadlock. It is an error to attempt to join a process before it has been started."
multiprocessing.Process*,run(),,"Method representing the process¡¯s activity.
You may override this method in a subclass. The standard run() method invokes the callable object passed to the object¡¯s constructor as the target argument, if any, with sequential and keyword arguments taken from the args and kwargs arguments, respectively."
multiprocessing.Process*,start(),,"Start the process¡¯s activity.
This must be called at most once per process object. It arranges for the object¡¯s run() method to be invoked in a separate process."
multiprocessing.Queue*,close(),,Indicate that no more data will be put on this queue by the current process. The background thread will quit once it has flushed all buffered data to the pipe. This is called automatically when the queue is garbage collected.
multiprocessing.Queue*,empty(),,"Return True if the queue is empty, False otherwise. Because of multithreading/multiprocessing semantics, this is not reliable."
multiprocessing.Queue*,full(),,"Return True if the queue is full, False otherwise. Because of multithreading/multiprocessing semantics, this is not reliable."
multiprocessing.Queue*,get(),"block, timeout","Remove and return an item from the queue. If optional args block is True (the default) and timeout is None (the default), block if necessary until an item is available. If timeout is a positive number, it blocks at most timeout seconds and raises the Queue.Empty exception if no item was available within that time. Otherwise (block is False), return an item if one is immediately available, else raise the Queue.Empty exception (timeout is ignored in that case)."
multiprocessing.Queue*,get_nowait(),,Equivalent to get(False).
multiprocessing.Queue*,put(obj),,"Put obj into the queue. If the optional argument block is True (the default) and timeout is None (the default), block if necessary until a free slot is available. If timeout is a positive number, it blocks at most timeout seconds and raises the Queue.Full exception if no free slot was available within that time. Otherwise (block is False), put an item on the queue if a free slot is immediately available, else raise the Queue.Full exception (timeout is ignored in that case)."
multiprocessing.Queue*,put_nowait(obj),,"Equivalent to put(obj, False)."
multiprocessing.Queue*,qsize(),,"Return the approximate size of the queue. Because of multithreading/multiprocessing semantics, this number is not reliable.
Note that this may raise NotImplementedError on Unix platforms like Mac OS X where sem_getvalue() is not implemented."
multiprocessing.sharedctypes,"Array(typecode_or_type, size_or_initializer)","*, lock=True, ctx=None","Return a synchronization wrapper for a Value.
typecode_to_type is in sharedctypes.
typecode_to_type = {
    'c': ctypes.c_char,  'u': ctypes.c_wchar,
    'b': ctypes.c_byte,  'B': ctypes.c_ubyte,
    'h': ctypes.c_short, 'H': ctypes.c_ushort,
    'i': ctypes.c_int,   'I': ctypes.c_uint,
    'l': ctypes.c_long,  'L': ctypes.c_ulong,
    'f': ctypes.c_float, 'd': ctypes.c_double
}"
multiprocessing.sharedctypes,Value(typecode_or_type),"*args, lock=True, ctx=None","Return a synchronization wrapper for a Value.
typecode_to_type is in sharedctypes.
typecode_to_type = {
    'c': ctypes.c_char,  'u': ctypes.c_wchar,
    'b': ctypes.c_byte,  'B': ctypes.c_ubyte,
    'h': ctypes.c_short, 'H': ctypes.c_ushort,
    'i': ctypes.c_int,   'I': ctypes.c_uint,
    'l': ctypes.c_long,  'L': ctypes.c_ulong,
    'f': ctypes.c_float, 'd': ctypes.c_double
}"
numpy,absolute(x),out=None,Calculate the absolute value element-wise.
numpy,all(a),"axis=None, out=None",Test whether all array elements along a given axis evaluate to True.
numpy,any(a),"axis=None, out=None","Test whether any array element along a given axis evaluates to True.
Returns single boolean unless axis is not None."
numpy,"append(arr, values)",axis=None,Append values to the end of an array.
numpy,arange(stop),"start=0, step=1, dtype=None","Return evenly spaced values within a given interval.
Values are generated within the half-open interval [start, stop) (in other words, the interval including start but excluding stop). For integer arguments the function is equivalent to the Python built-in range function, but returns an ndarray rather than a list.  When using a non-integer step, such as 0.1, the results will often not be consistent. It is better to use linspace for these cases."
numpy,argmax(a),"axis=None, out=None",Returns the indices of the maximum values along an axis.
numpy,argmin(a),"axis=None, out=None",Returns the indices of the minimum values along an axis.
numpy,array(object),"dtype=None, copy=True, order='K', 
subok=False, ndmin=0",Create an array.
numpy,asarray(a),"dtype=None, order=None",Convert the input to an array.
numpy,ascontiguousarray(a),dtype=None,Return a contiguous array in memory (C order).
numpy,asmatrix(data),dtype=None,"Interpret the input as a matrix.
Unlike matrix, asmatrix does not make a copy if the input is already a matrix or an ndarray.
Equivalent to matrix(data, copy=False), or mat()."
numpy,c_[],,Translates slice objects to concatenation along the second axis.
numpy,"clip(a, a_min, a_max)",out=None,"Clip (limit) the values in an array.

Given an interval, values outside the interval are clipped to the interval edges.  For example, if an interval of ``[0, 1]`` is specified, values smaller than 0 become 0, and values larger than 1 become 1."
numpy,"concatenate((a1, a2, ...))",axis=0,"Join a sequence of arrays along an existing axis.
**Also see**: *hstack()*, *vstack()*."
numpy,copy(a),order='K',Return an array copy of the given object.
numpy,count_nonzero(a),axis=None,Counts the number of non-zero values in the array a.
numpy,cumprod(a),"axis=None, dtype=None, out=None",Return the cumulative product of elements along a given axis.
numpy,cumsum(a),"axis=None, dtype=None, out=None",Return the cumulative sum of the elements along a given axis.
numpy,"delete(arr, obj)",axis=None,"Return a new array with sub-arrays along an axis deleted. For a one dimensional array, this returns those entries not returned by arr[obj]."
numpy,"dot(a, b)",out=None,"Dot product of two arrays.
For 2-D arrays it is equivalent to matrix multiplication, and for 1-D arrays to inner product of vectors (without complex conjugation).For N dimensions it is a sum product over the last axis of a and the second-to-last of b:  
dot(a, b)[i,j,k,m] = sum(a[i,j,:] * b[k,:,m])"
numpy,dtype(obj),"align=False, copy=False","Create a data type object.
A numpy array is homogeneous, and contains elements described by a dtype object. A dtype object can be constructed from different combinations of fundamental numeric types."
numpy,empty(shape),"dtype=float, order='C'","Return a new array of given shape and type, without initializing entries."
numpy,exp(x),out=None,Calculate the exponential of all elements in the input array.
numpy,eye(N),"M=None, k=0, dtype=<type 'float'>",Return a 2-D array with ones on the diagonal and zeros elsewhere.
numpy,fabs(x),out=None,"Compute the absolute values element-wise.
This function returns the absolute values (positive magnitude) of the data in x. Complex values are not handled, use absolute to find the absolute values of complex data."
numpy,identity(n),dtype=None,Return the identity array. The identity array is a square array with ones on the main diagonal.
numpy,"in1d(ar1, ar2)","assume_unique=False, invert=False","Test whether each element of a 1-D array is also present in a second array.
Returns a boolean array the same length as ar1 that is True where an element of ar1 is in ar2 and False otherwise."
numpy,"intersect1d(ar1, ar2)",assume_unique=False,"Find the intersection of two arrays.
Return the sorted, unique values that are in both of the input arrays."
numpy,isfinite(x),out=None,"Test element-wise for finiteness (not infinity or not Not a Number).
The result is returned as a boolean array."
numpy,isinf(x),out=None,"Test element-wise for positive or negative infinity.
Returns a boolean array of the same shape as x, True where x == +/-inf, otherwise False."
numpy,isnan(x),out=None,Test element-wise for NaN and return result as a boolean array.
numpy,ix_(*args),,"Construct an open mesh from multiple sequences.
This function takes N 1-D sequences and returns N outputs with N dimensions each, such that the shape is 1 in all but one dimension and the dimension with the non-unit shape value cycles through all N dimensions.
Using ix_ one can quickly construct index arrays that will index the cross product. a[np.ix_([1,3],[2,5])] returns the array [[a[1,2] a[1,5]], [a[3,2] a[3,5]]].
"
numpy,"linspace(start, stop)","num=50, endpoint=True,
retstep=False, dtype=None","Return evenly spaced numbers over a specified interval.
Returns *num* evenly spaced samples, calculated over the interval [start, stop].
The endpoint of the interval can optionally be excluded."
numpy,loadtxt(fname),"dtype=<type 'float'>, comments='#',
delimiter=None, converters=None, skiprows=0,
usecols=None, unpack=False, ndmin=0","Load data from a text file.
Each row in the text file must have the same number of values."
numpy,"logical_and(x1, x2)","[, out]","Equals to <ufunc 'logical_and'>
Compute the truth value of x1 AND x2 element-wise."
numpy,logical_not(x),"[, out]","Equals to <ufunc 'logical_not'>
Compute the truth value of NOT x element-wise."
numpy,"logical_or(x1, x2)","[, out]","Equals to <ufunc 'logical_or'>
Compute the truth value of x1 OR x2 element-wise."
numpy,matrix(data),"dtype=None, copy=True","Returns a matrix from an array-like object, or from a string of data. A matrix is a specialized 2-D array that retains its 2-D nature through operations. It has certain special operators, such as * (matrix multiplication) and ** (matrix power).
"
numpy,mean(a),"axis=None, dtype=None, out=None","Compute the arithmetic mean along the specified axis.
Returns the average of the array elements. The average is taken over the flattened array by default, otherwise over the specified axis. float64 intermediate and return values are used for integer inputs."
numpy,"meshgrid(*xi, **kwargs)",,"Return coordinate matrices from coordinate vectors.
Make N-D coordinate arrays for vectorized evaluations of N-D scalar/vector fields over N-D grids, given one-dimensional coordinate arrays x1, x2,..., xn.
Changed in version 1.9: 1-D and 0-D cases are allowed."
numpy,nonzero(a),,"Return the indices of the elements that are non-zero.
Returns a tuple of arrays, one for each dimension of a, containing the indices of the non-zero elements in that dimension. The values in a are always tested and returned in row-major, C-style order."
numpy,sign(x),...,"Returns an element-wise indication of the sign of a number.
The sign function returns -1 if x < 0, 0 if x==0, 1 if x > 0. nan is returned for nan inputs."
numpy,ones(shape),"dtype=None, order='C'","Return a new array of given shape and type, filled with ones."
numpy,"power(x1, x2)",out=None,"First array elements raised to powers from second array, element-wise.
Raise each base in x1 to the positionally-corresponding power in x2. x1 and x2 must be broadcastable to the same shape. Note that an integer type raised to a negative integer power will raise a ValueError.
Equals to <ufunc 'power'>."
numpy,"put(a, ind, v)",mode='raise',"Replaces specified elements of an array with given values.
The indexing works on the flattened target array. put is roughly equivalent to:
a.flat[ind] = v"
numpy,r_[],,Translates slice objects to concatenation along the first axis.
numpy,ravel(a),order='C',"Return a contiguous flattened array.
A 1-D array, containing the elements of the input, is returned. A copy is made only if needed.
As of NumPy 1.10, the returned array will have the same type as the input array. (for example, a masked array will be returned for a masked array input)"
numpy,"repeat(a, repeats)",axis=None,"Repeat elements of an array.
**axis**: The axis along which to repeat values. By default, use the flattened input array, and return a flat output array."
numpy,"reshape(a, newshape)",order='C',"Gives a new shape to an array without changing its data.
**newshape**: *int or tuple of ints*
The new shape should be compatible with the original shape. If an integer, then the result will be a 1-D array of that length. One shape dimension can be -1. In this case, the value is inferred from the length of the array and remaining dimensions."
numpy,rint(x),out=None,Round elements of the array to the nearest integer.
numpy,"save(file, arr)","allow_pickle=True, fix_imports=True",Save an array to a binary file in NumPy .npy format.
numpy,"savetxt(fname, X)","fmt='%.18e', delimiter=' ',
newline='\n', header='',
footer='', comments='# '","Save an array to a text file.
**fname**
filename or file handle
If the filename ends in .gz, the file is automatically saved in compressed gzip format.
**X**
array_like
Data to be saved to a text file.
**delimiter**
str, optional
String or character separating columns."
numpy,savez(file),"*args, **kwds","Save several arrays into a single file in uncompressed .npz format.
If arguments are passed in with no keywords, the corresponding variable names, in the .npz file, are ¡®arr_0¡¯, ¡®arr_1¡¯, etc. If keyword arguments are given, the corresponding variable names, in the .npz file will match the keyword names."
numpy,"setdiff1d(ar1, ar2)",assume_unique=False,"Find the set difference of two arrays.
Return the sorted, unique values in ar1 that are not in ar2."
numpy,"setxor1d(ar1, ar2)",assume_unique=False,"Find the set exclusive-or of two arrays.
Return the sorted, unique values that are in only one (not both) of the input arrays."
numpy,sort(a),"axis=-1, kind='quicksort', order=None",Return a sorted copy of an array.
numpy,"split(ary, indices_or_sections)",axis=0,"Split an array into multiple sub-arrays.
**indices_or_sections **: 
If indices\_or\_sections is an integer, N, the array will be divided into N equal arrays along axis. If such a split is not possible, an error is raised.
If indices\_or\_sections is a 1-D array of sorted integers, the entries indicate where along axis the array is split. 
If an index exceeds the dimension of the array along axis, an empty sub-array is returned correspondingly.
**Also see**: *hsplit*, *vsplit*, *dsplit*."
numpy,sqrt(x),out=None,"Return the positive square-root of an array, element-wise."
numpy,stack(arrays),axis=0,Join a sequence of arrays along a new axis.
numpy,std(a),"axis=None, dtype=None,
out=None, ddof=0","Compute the standard deviation along the specified axis.
Returns the standard deviation, a measure of the spread of a distribution, of the array elements. The standard deviation is computed for the flattened array by default, otherwise over the specified axis."
numpy,sum(a),"axis=None, dtype=None, out=None",Sum of array elements over a given axis.
numpy,"take(a, indices)","axis=None, out=None, mode='raise'","Take elements from an array along an axis.
This function does the same thing as ""fancy"" indexing (indexing arrays using arrays); however, it can be easier to use if you need elements along a given axis."
numpy,"tile(A, reps)",,"Construct an array by repeating A the number of times given by reps.
If reps has length d, the result will have dimension of max(d, A.ndim)."
numpy,transpose(a),axes=None,Permute the dimensions of an array.
numpy,"union1d(ar1, ar2)",,"Find the union of two arrays.
Return the unique, sorted array of values that are in either of the two input arrays."
numpy,unique(ar),"return_index=False,
return_inverse=False,
return_counts=False","Find the unique elements of an array.
Returns the sorted unique elements of an array. There are three optional outputs in addition to the unique elements: the indices of the input array that give the unique values, the indices of the unique array that reconstruct the input array, and the number of times each unique value comes up in the input array.
**return_inverse**: *bool, optional*
If True, also return the indices of the unique array that can be used to reconstruct *ar*."
numpy,var(a),"axis=None, dtype=None,
out=None, ddof=0","Compute the variance along the specified axis.
Returns the variance of the array elements, a measure of the spread of a distribution. The variance is computed for the flattened array by default, otherwise over the specified axis."
numpy,vectorize(pyfunc),"otypes=None, doc=None,
excluded=None, cache=False,
signature=None","Generalized function class.
Define a vectorized function which takes a nested sequence of objects or numpy arrays as inputs and returns an single or tuple of numpy array as output. The vectorized function evaluates pyfunc over successive tuples of the input arrays like the python map function, except it uses the broadcasting rules of numpy."
numpy,where(condition),"x=None, y=None","Return elements, either from x or y, depending on condition.
If only condition is given, return condition.nonzero().
condition : *array_like*, *bool*
    When True, yield x, otherwise yield y.
x, y : *array_like*, *optional*
    Values from which to choose. x and y need to have the same shape as condition.
out : *ndarray or tuple of ndarrays*
    If both x and y are specified, the output array contains elements of x where condition is True, and elements from y elsewhere.
    If only condition is given, return the tuple condition.nonzero(), the indices where condition is True.
"
numpy,zeros(shape),"dtype=float, order='C'","Return a new array of given shape and type, filled with zeros."
numpy.dtype*,.name,,"A bit-width name for this data-type.
Un-sized flexible data-type objects do not have this attribute."
numpy.matrix*,getA(),,"Return *self* as an *ndarray* object.
Equivalent to **np.asarray(self)**."
numpy.matrix*,getA1(),,"Return *self* as a flattened *ndarray*.
Equivalent to **np.asarray(x).ravel()**."
numpy.ndarray*,.base,,Base object if memory is from some other object.
numpy.ndarray*,.ctypes,,An object to simplify the interaction of the array with the ctypes module.
numpy.ndarray*,.data,,Python buffer object pointing to the start of the array's data.
numpy.ndarray*,.dtype,,"Data-type of the array's elements.
-- Return a numpy.dtype object."
numpy.ndarray*,.flags,,Information about the memory layout of the array.
numpy.ndarray*,.flat,,A 1-D iterator over the array.
numpy.ndarray*,.imag,,The imaginary part of the array.
numpy.ndarray*,.itemsize,,Length of one array element in bytes.
numpy.ndarray*,.nbytes,,Total bytes consumed by the elements of the array.
numpy.ndarray*,.ndim,,Number of array dimensions.
numpy.ndarray*,.real,,The real part of the array.
numpy.ndarray*,.shape,,Tuple of array dimensions.
numpy.ndarray*,.size,,Number of elements in the array.
numpy.ndarray*,.strides,,Tuple of bytes to step in each dimension when traversing an array.
numpy.ndarray*,.T,,"Same as self.transpose(), except that self is returned if self.ndim < 2."
numpy.ndarray*,all(),"axis=None, out=None, keepdims=False",Returns True if all elements evaluate to True.
numpy.ndarray*,any(),"axis=None, out=None, keepdims=False",Returns True if any of the elements of *a* evaluate to True.
numpy.ndarray*,argmax(),"axis=None, out=None",Return indices of the maximum values along the given *axis*.
numpy.ndarray*,argmin(),"axis=None, out=None",Return indices of the minimum values along the given axis.
numpy.ndarray*,argsort(),"axis=-1, kind='quicksort', order=None",Returns the indices that would sort this array.
numpy.ndarray*,astype(),"order='K', casting='unsafe',
subok=True, copy=True","Copy of the array, cast to a specified type."
numpy.ndarray*,copy(),order='C',Return a copy of the array.
numpy.ndarray*,cumprod(),"axis=None, dtype=None, out=None",Return the cumulative product of the elements along the given axis.
numpy.ndarray*,cumsum(),"axis=None, dtype=None, out=None",Return the cumulative sum of the elements along the given axis.
numpy.ndarray*,diagonal(),"offset=0, axis1=0, axis2=1",Return specified diagonals.
numpy.ndarray*,dot(b),out=None,Dot product of two arrays.
numpy.ndarray*,flatten(),order='C',Return a copy of the array collapsed into one dimension.
numpy.ndarray*,max(),"axis=None, out=None",Return the maximum along a given axis.
numpy.ndarray*,mean(),"axis=None, dtype=None,
out=None, keepdims=False",Returns the average of the array elements along given axis.
numpy.ndarray*,min(),"axis=None, out=None, keepdims=False",Return the minimum along a given axis.
numpy.ndarray*,nonzero(),,Return the indices of the elements that are non-zero.
numpy.ndarray*,ravel(),order=None,Return a flattened array.
numpy.ndarray*,repeat(repeats),axis=None,Repeat elements of an array.
numpy.ndarray*,reshape(shape),order='C',Returns an array containing the same data with a new shape.
numpy.ndarray*,sort(),"axis=-1, kind='quicksort', order=None","Sort an array, in-place."
numpy.ndarray*,std(),"axis=None, dtype=None, out=None,
ddof=0, keepdims=False",Returns the standard deviation of the array elements along given axis.
numpy.ndarray*,sum(),"axis=None, dtype=None,
out=None, keepdims=False",Return the sum of the array elements over the given axis.
numpy.ndarray*,take(indices),"axis=None, out=None,
mode='raise'",Return an array formed from the elements of a at the given indices.
numpy.ndarray*,tolist(),,"Return the array as a (possibly nested) list.
Return a copy of the array data as a (nested) Python list. Data items are converted to the nearest compatible Python type."
numpy.ndarray*,transpose(),*axes,Returns a view of the array with axes transposed.
numpy.ndarray*,var(),"axis=None, dtype=None, out=None,
ddof=0, keepdims=False","Returns the variance of the array elements, along given axis."
numpy.random,permutation(x),,"Randomly permute a sequence, or return a permuted range.
If x is a multi-dimensional array, it is only shuffled along its first index."
numpy.random,rand(*dn),,"rand(d0, d1, ..., dn)
Random values in a given shape.
Create an array of the given shape and populate it with random samples from a uniform distribution over [0, 1)."
numpy.random,randint(low),"high=None, size=None, dtype='l'","Return random integers from low (inclusive) to high (exclusive).
Return random integers from the ¡°discrete uniform'' distribution of the specified dtype in the ¡°half-open'' interval [low, high). If high is None (the default), then results are from [0, low)."
numpy.random,randn(),*dn,"randn(d0, d1, ..., dn)
Return a sample (or samples) from the ¡°standard normal'' distribution.
If positive, int\_like or int-convertible arguments are provided, randn generates an array of shape (d0, d1, ..., dn), filled with random floats sampled from a univariate ¡°normal'' (Gaussian) distribution of mean 0 and variance 1 (if any of the d[i] are floats, they are first converted to integers by truncation). A single float randomly sampled from the distribution is returned if no argument is provided.
This is a convenience function. If you want an interface that takes a tuple as the first argument, use *numpy.random.standard_normal()* instead."
numpy.random,randn(*dn),,"randn(d0, d1, ..., dn)
Return a sample (or samples) from the ¡°standard normal'' distribution.
If positive, int\_like or int-convertible arguments are provided, randn generates an array of shape (d0, d1, ..., dn), filled with random floats sampled from a univariate ¡°normal'' (Gaussian) distribution of mean 0 and variance 1 (if any of the d[i] are floats, they are first converted to integers by truncation). A single float randomly sampled from the distribution is returned if no argument is provided.
This is a convenience function. If you want an interface that takes a tuple as the first argument, use *numpy.random.standard_normal()* instead."
numpy.random,random(),size=None,"Return random floats in the half-open interval [0.0, 1.0).
Results are from the ¡°continuous uniform'' distribution over the stated interval. To sample Unif[a, b), b > a:
(b - a) * random_sample() + a"
numpy.random,seed(),seed=None,"Seed the generator.
This method is called when *RandomState* is initialized. It can be called again to re-seed the generator. For details, see *RandomState*."
numpy.random,standard_cauchy(),size=None,"Draw samples from a standard Cauchy distribution with mode = 0.
Also known as the Lorentz distribution."
numpy.random,standard_exponential(),size=None,"Draw samples from the standard exponential distribution.
standard_exponential is identical to the exponential distribution with a scale parameter of 1."
numpy.random,standard_gamma(shape),size=None,"Draw samples from a standard Gamma distribution.
Samples are drawn from a Gamma distribution with specified parameters, shape (sometimes designated ¡°k'') and scale=1."
numpy.random,standard_normal(),size=None,"Draw samples from a standard Normal distribution (mean=0, stdev=1)."
numpy.random,standard_t(df),size=None,"Draw samples from a standard Student's t distribution with df degrees of freedom.
A special case of the hyperbolic distribution. As df gets large, the result resembles that of the standard normal distribution (standard_normal)."
numpy.random,uniform(),"low=0.0, high=1.0, size=None","Draw samples from a uniform distribution.
Samples are uniformly distributed over the half-open interval [low, high) (includes low, but excludes high). In other words, any value within the given interval is equally likely to be drawn by uniform."
os,getpid(),,Return the current process id.
os,getppid(),,"Return the parent¡¯s process id. When the parent process has exited, on Unix the id returned is the one of the init process (1), on Windows it is still the same id, which may be already reused by another process."
os,os.cpu_count(),,"Return the number of CPUs in the system. Returns None if undetermined.
This number is not equivalent to the number of CPUs the current process can use. The number of usable CPUs can be obtained with len(os.sched_getaffinity(0))."
pandas,Categorical(values),"categories=None, ordered=False,
fastpath=False","Represents a categorical variable in classic R / S-plus fashion.
Categoricals can only take on only a limited, and usually fixed, number of possible values (categories). In contrast to statistical categorical variables, a Categorical might have an order, but numerical operations (additions, divisions, ¡­) are not possible.
All values of the Categorical are either in categories or np.nan. Assigning values outside of categories will raise a ValueError. Order is defined by the order of the categories, not lexical order of the values.
**values**
list-like
The values of the categorical. If categories are given, values not in categories will be replaced with NaN.
**categories**
Index-like (unique), optional
The unique categories for this categorical. If not given, the categories are assumed to be the unique values of values."
pandas,concat(objs),"axis=0, join='outer',
join_axes=None, ignore_index=False,
keys=None, levels=None,
names=None, verify_integrity=False,
copy=True","Concatenate pandas objects along a particular axis with optional set logic along the other axes.
Can also add a layer of hierarchical indexing on the concatenation axis, which may be useful if the labels are the same (or overlapping) on the passed axis number.
**objs**
a sequence or mapping of Series, DataFrame, or Panel objects
If a dict is passed, the sorted keys will be used as the keys argument, unless it is passed, in which case the values will be selected (see below). Any None objects will be dropped silently unless they are all None in which case a ValueError will be raised.
**axis**
{0/'index', 1/'columns'}, default 0
The axis to concatenate along.
**join**
{'inner', 'outer'}, default 'outer'
How to handle indexes on other axis(es).
**join_axes**
list of Index objects
Specific indexes to use for the other n - 1 axes instead of performing inner/outer set logic.
**keys**
sequence, default None
If multiple levels passed, should contain tuples. Construct hierarchical index using the passed keys as the outermost level."
pandas,"cut(x, bins)","right=True, labels=None,
retbins=False, precision=3,
include_lowest=False","Return indices of half-open bins to which each value of x belongs.
**x**
array-like
Input array to be binned. It has to be 1-dimensional.
**bins**
int, sequence of scalars, or IntervalIndex
If bins is an int, it defines the number of equal-width bins in the range of x. However, in this case, the range of x is extended by .1% on each side to include the min or max values of x. If bins is a sequence it defines the bin edges allowing for non-uniform bin width. No extension of the range of x is done in this case."
pandas,DataFrame(),"data=None, index=None, 
columns=None, dtype=None,
copy=False","Two-dimensional size-mutable, potentially heterogeneous tabular data structure with labeled axes (rows and columns). Arithmetic operations align on both row and column labels. Can be thought of as a dict-like container for Series objects. The primary pandas data structure"
pandas,get_dummies(data),"prefix=None, prefix_sep='_',
dummy_na=False, columns=None,
sparse=False, drop_first=False","Convert categorical variable into dummy/indicator variables.
**data**
array-like, Series, or DataFrame"
pandas,Index(data),"dtype, name,
...","Immutable ndarray implementing an ordered, sliceable set. The basic object storing axis labels for all pandas objects.
**data**
array-like (1-dimensional)
**dtype**
NumPy dtype (default: object)
**name**
object
Name to be stored in the index."
pandas,isnull(obj),,"Detect missing values (NaN in numeric arrays, None/NaN in object arrays)"
